RecAreaID,RecAreaName
1399,Fox River National Wildlife Refuge
1400,Grand Bay National Wildlife Refuge
1401,Grand Cote National Wildlife Refuge
1402,Grasslands Wildlife Management Area
1403,Grays Harbor National Wildlife Refuge
1404,Grays Lake National Wildlife Refuge
1405,Great Bay National Wildlife Refuge
1406,Great Dismal Swamp National Wildlife Refuge
1408,Great Swamp National Wildlife Refuge
1409,Great White Heron National Wildlife Refuge
1410,Grulla National Wildlife Refuge
1411,Guam National Wildlife Refuge
1412,Hagerman National Wildlife Refuge
1414,Hakalau Forest National Wildlife Refuge
1415,Grass Lake National Wildlife Refuge
1416,Hamden Slough National Wildlife Refuge
1417,Hanalei National Wildlife Refuge
1418,Handy Brake National Wildlife Refuge
1419,Harbor Island National Wildlife Refuge
1420,Harris Neck National Wildlife Refuge
1422,Hatchie National Wildlife Refuge
1423,Havasu National Wildlife Refuge
1426,Hillside National Wildlife Refuge
1427,Nathaniel P. Reed Hobe Sound National Wildlife Refuge
1428,Holla Bend National Wildlife Refuge
1429,Horicon National Wildlife Refuge
1430,Humboldt Bay National Wildlife Refuge
1431,Huron National Wildlife Refuge
1432,Huron Wetland Management District
1433,Hutton Lake National Wildlife Refuge
1434,Imperial National Wildlife Refuge
1435,Innoko National Wildlife Refuge
1436,Iowa Wetland Management District
1437,Iroquois National Wildlife Refuge
1438,Island Bay National Wildlife Refuge
1440,J. Clark Salyer National Wildlife Refuge
1441,J. Clark Salyer Wetland Management District
1442,"J.N. ""Ding"" Darling National Wildlife Refuge"
1443,James Campbell National Wildlife Refuge
1444,James River National Wildlife Refuge
1445,John Hay National Wildlife Refuge
1446,John Heinz National Wildlife Refuge at Tinicum
1447,Julia Butler Hansen Refuge for the Columbian White-Tailed Deer
1448,Kanuti National Wildlife Refuge
1449,Keālia Pond National Wildlife Refuge
1450,Kellys Slough National Wildlife Refuge
1451,Kenai National Wildlife Refuge
1452,Kern National Wildlife Refuge
1453,Key West National Wildlife Refuge
1454,Kīlauea Point National Wildlife Refuge
1455,Kirtlands Warbler Wildlife Management Area
